surr_id,incident_id,quarter,school,city,state,school_level,location,situation,targets,barricade,officer_involved,bullied,domestic_violence,gang_related,preplanned,shots_fired,active_shooter_fbi,first_shot
403,19901002TXWHD,Fall,W H Adamson High School,Dallas,TX,High,Parking Lot,Drive-by Shooting,Random Shooting,No,No,No,No,Unknown,No,10,Unknown,16:50:00
404,19901029INCHC,Fall,Charlestown High School,Charlestown,IN,High,Classroom,Hostage/Standoff,Neither,Yes,No,No,No,No,No,6,Yes,11:10:00
405,19901030TXNAG,Fall,Naaman Forest High School,GarlaUnknown,TX,High,Office,Anger Over Grade/Suspension/Discipline,Victims Targeted,No,No,No,No,No,No,2,Unknown,Unknown
406,19901110TXJUD,Fall,Justin Kimball High School,Dallas,TX,High,Football Field/Track,Unknown,Both,No,No,No,No,Unknown,No,9,No,20:40:00
407,19901213LASAS,Winter,Salmen High School,Slidell,LA,High,Parking Lot,Illegal Activity,Victims Targeted,No,No,No,No,Yes,No,50,Unknown,20:52:00
408,19910108TXRIR,Winter,Richardson High School,Richardson,TX,High,Classroom,Suicide/Attempted,Victims Targeted,No,No,No,No,No,No,1,Unknown,9:45:00
409,19910117TXHOD,Winter,Hood Middle School,Dallas,TX,Middle,Outside on School Property,Escalation of Dispute,Random Shooting,No,No,No,No,Yes,No,2,Unknown,Unknown
410,19910219LABON,Winter,Booker T. Washington High School,New Orleans,LA,High,Outside on School Property,Illegal Activity,Both,No,No,No,No,No,No,4,Unknown,13:00:00
411,19910313ALSES,Spring,Selma High School,Selma,AL,High,Gym,Escalation of Dispute,Both,No,No,No,No,No,No,1,Unknown,9:35:00
412,19910314SCWOP,Spring,Woodmont High School,Piedmont,SC,High,Parking Lot,Escalation of Dispute,Both,No,No,No,No,No,No,5,Unknown,Unknown
535,19940405TXMCA,Spring,McNeil High School,Austin,TX,High,Classroom,Accidental,Random Shooting,No,No,No,No,No,No,1,Unknown,Unknown
413,19910325NCGAC,Spring,Garinger High School,Charlotte,NC,High,Front of School,Drive-by Shooting,Victims Targeted,No,No,No,No,Unknown,No,4,Unknown,14:20:00
415,19910423CARAC,Spring,Ralph J. Bunche Middle School,Compton,CA,Middle,Beside Building,Illegal Activity,Random Shooting,No,No,No,No,Yes,No,10,Unknown,Unknown
416,19910423MSHUB,Spring,Humphrey's County High School,Belzoni,MS,High,Classroom,Accidental,Random Shooting,No,No,No,No,No,No,1,Unknown,Unknown
417,19910510OHFRC,Spring,Franklin Alternative Middle School,Columbus,OH,Middle,Front of School,Escalation of Dispute,Victims Targeted,No,No,No,No,Unknown,No,5,Unknown,14:00:00
418,19910516KSCOK,Spring,Coronado Middle School,Kansas City,KS,Middle,Inside School Building,Illegal Activity,Unknown,No,No,No,No,Yes,No,1,Unknown,Unknown
419,19910521CAROS,Spring,Robert A. Millikan Junior High School,Sherman Oaks,CA,Junior High,Front of School,Drive-by Shooting,Victims Targeted,No,No,No,No,Yes,No,10,Unknown,Unknown
420,19910521FLSCP,Spring,School of Choice,Pahokee,FL,Unknown,Beside Building,Escalation of Dispute,Both,No,No,No,No,No,No,10,No,10:30:00
421,19910722CAWEL,Summer,Westchester High School,Los Angeles,CA,High,Front of School,Drive-by Shooting,Victims Targeted,No,No,No,No,Yes,No,10,Unknown,10:30:00
422,19910730CAENC,Summer,Enterprise Middle School,Compton,CA,Middle,Hallway,Escalation of Dispute,Victims Targeted,No,No,No,No,Yes,No,5,Unknown,Unknown
423,19910913TXMAH,Fall,Madison High School,Houston,TX,High,Parking Lot,Escalation of Dispute,Random Shooting,No,No,No,No,Yes,No,20,Unknown,23:00:00
424,19910917ILWOC,Fall,Woodson High School,Chicago,IL,High,Gym,Indiscriminate Shooting,Random Shooting,No,No,No,No,Yes,No,12,Unknown,17:00:00
425,19910918TXCRC,Fall,Crosby High School,Crosby,TX,High,Cafeteria,Escalation of Dispute,Victims Targeted,No,No,No,No,No,No,2,Unknown,Unknown
426,19911002TXSPH,Fall,Spring Woods High School (bus),Houston,TX,High,School Bus,Accidental,Random Shooting,No,No,No,No,No,No,1,Unknown,7:14:00
427,19911004CADOL,Fall,Dorsey High School,Los Angeles,CA,High,Football Field/Track,Escalation of Dispute,Random Shooting,No,No,No,No,Yes,No,10,Unknown,17:27:00
428,19911004CAROL,Fall,Roosevelt High School,Los Angeles,CA,High,Football Field/Track,Escalation of Dispute,Unknown,No,No,No,No,Yes,No,8,Unknown,Unknown
429,19911009NYJAB,Fall,James Monroe High School,Bronx,NY,High,Outside on School Property,Escalation of Dispute,Victims Targeted,No,No,No,No,No,No,2,Unknown,9:15:00
608,19970220FLFIJ,Winter,First Coast High School,Jacksonville,FL,High,Field (General),Suicide/Attempted,Victims Targeted,No,No,No,No,No,No,1,Unknown,Unknown
609,19970221NVRAL,Winter,Rancho High School,Las Vegas,NV,High,Parking Lot,Escalation of Dispute,Victims Targeted,No,No,No,No,Yes,No,3,No,13:00:00
610,19970317MIPED,Spring,Pershing High School,Detroit,MI,High,Parking Lot,Escalation of Dispute,Victims Targeted,No,No,No,No,No,No,2,Unknown,14:45:00
611,19970403CAMAM,Spring,Maria Del Rey Junior High School,Mar Vista,CA,High,Front of School,Drive-by Shooting,Unknown,No,No,No,No,Yes,No,8,Unknown,Unknown
612,19970428CAJOL,Spring,John Marshall High School,Los Angeles,CA,High,Beside Building,Escalation of Dispute,Victims Targeted,No,No,No,No,Yes,No,8,Unknown,Unknown
613,19970430NYCIN,Spring,City-as-School High School,New York,NY,High,Front of School,Escalation of Dispute,Unknown,No,No,Unknown,No,Unknown,No,7,Unknown,12:30:00
614,19970513FLNOM,Spring,Northwestern High School,Miami,FL,High,Hallway,Escalation of Dispute,Victims Targeted,No,No,No,No,No,No,1,Unknown,8:30:00
615,19970520OHDUD,Spring,Dunbar High School,Dayton,OH,High,Cafeteria,Accidental,Random Shooting,No,No,No,No,No,No,1,Unknown,Unknown
616,19970624ALJEM,Summer,Jefferson Davis High School,Montgomery,AL,High,Parking Lot,Escalation of Dispute,Victims Targeted,No,No,Unknown,No,No,Unknown,8,No,12:43:00
617,19971001MSPEP,Fall,Pearl High School,Pearl,MS,High,Hallway,Domestic w/ Targeted Victim,Both,No,No,Yes,Yes,No,Yes,18,Yes,Unknown
618,19971005OKMOO,Fall,Moore West Junior High School,Oklahoma City,OK,Junior High,Parking Lot,Escalation of Dispute,Victims Targeted,No,No,No,No,No,No,3,No,14:55:00
